job_title,job_date,comp_name,comp_type,comp_size,eco_activity,qualif,region,city,salary,contract,positions,job_post_id,exper,gender
مراقب مالي,15/06/1444,شركة فنون التعبئة للمنتجات الغذائية,خاص,صغيرة فئة ب,تعبئة وحفظ البقوليات (المطبوخة وغير المطبوخة) بالتعليب,,مكة المكرمة,JEDDAH,7000,دوام كامل,1,20202026395447,2,F
مساعد إداري,15/06/1444,شركة فنون التعبئة للمنتجات الغذائية,خاص,صغيرة فئة ب,تعبئة وحفظ البقوليات (المطبوخة وغير المطبوخة) بالتعليب,,مكة المكرمة,JEDDAH,7000,عمل عن بعد,1,20202026395426,2,F
موظف صندوق محاسبة,14/06/1444,مطعم فطائر الآب للوجبات السريعة,خاص,صغيرة فئة ب,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),"['Skill data', 'محاسب يتقن جهاز فودكس', 'متوسط']",المدينة المنورة,YANBU AL ,4000,دوام كامل,1,20202026395155,0,M
كاتب موارد بشرية,14/06/1444,مصنع غربله لمواد البناء,خاص,متوسطة فئة أ,انتاج أحجار رحى الطواحين وأحجار السن والصقل والشحذ,,مكة المكرمة,JEDDAH,4082,دوام كامل,2,20202026395135,0,F
مندوب مبيعات,18/06/1444,مؤسسة واحة القمة التجارية,خاص,صغيرة فئة أ,صناعة أعلاف الحيوانات الأليفة,"['Skill data', 'لباقة', 'محترف', 'تنظيم الوقت', 'محترف', 'مهارات تواصل', 'محترف', 'مهارات بيع وتسويق', 'محترف', 'Language data', 'انجليزي', 'متوسط']",الرياض,RIYADH,4000,دوام كامل,2,20202026398558,2,F
مسؤول تراخيص وتصاريح,18/06/1444,مؤسسة واحة القمة التجارية,خاص,صغيرة فئة أ,صناعة أعلاف الحيوانات الأليفة,"['Skill data', 'تواصل', 'محترف', 'المرونة', 'محترف', 'سلوك إيجابي', 'محترف', 'تنظيم الوقت', 'متوسط']",الرياض,RIYADH,4000,دوام كامل,2,20202026398557,0,both
كهربائي مباني,17/06/1444,مؤسسة التكتيك المتقدمه للمقاولات,خاص,صغيرة فئة أ,ترميمات المباني السكنية والغير سكنية,,مكة المكرمة,JEDDAH,4000,دوام كامل,1,20202026398452,0,M
مدير بحث وتطوير,17/06/1444,جمعية ريادة لبناء وتطوير القدرات الشبابية,خاص,صغيرة فئة أ,المؤسسات والهيئات الدينية غير ما ذكر فيما سبق .,,مكة المكرمة,MAKKAH,4000,دوام كامل,1,20202026398270,4,both
أخصائي مبيعات,17/06/1444,شركة خدمة الربط لتقنية المعلومات,خاص,صغيرة فئة ب,تقديم خدمة مراكــز الاتصـال,,الرياض,RIYADH,5000,دوام كامل,1,20202026398266,0,F
موظف استقبال فندق,17/06/1444,شركة هادية عبداللطيف جميل لتجارة المواد الغذائية,خاص,متوسطة فئة أ,Unknown,"['Language data', 'الانجليزية', 'محترف']",مكة المكرمة,JEDDAH,5500,دوام كامل,2,20202026398214,2,both
سكرتير,17/06/1444,شركة سعيد بن سعد بن بخروش الغامدي للتجارة والمقاولات,خاص,متوسطة فئة ب,ترميمات المباني السكنية والغير سكنية,,مكة المكرمة,MAKKAH,4000,دوام كامل,1,20202026397979,0,M
محاسب,16/06/1444,شركة الهديل الدولية للتجارة,خاص,صغيرة فئة ب,مراكز التوزيع للأغذية والمشروبات,"['Language data', 'الانجلزية', 'متوسط']",مكة المكرمة,JEDDAH,6500,دوام كامل,1,20202026397200,2,F
موظف استقبال فندق,15/06/1444,فندق فيو الشاطيء الفندقية,خاص,صغيرة فئة ب,Unknown,"['Skill data', 'التعامل مع العملاء', 'متوسط', 'Language data', 'لغة انجليزية', 'متوسط']",المنطقة الشرقية,DAMMAM,4000,دوام كامل,3,20202026396465,0,M
بائع,15/06/1444,مؤسسة وسق لتنظيم المعارض والمؤتمرات,خاص,صغيرة فئة أ,تنظيم وإدارة المعارض والمؤتمرات,"['Language data', 'الانجليزية', 'متوسط', 'العربية', 'محترف']",مكة المكرمة,JEDDAH,4000,دوام كامل,1,20202026395899,2,both
مترجم,15/06/1444,شركة فنون التعبئة للمنتجات الغذائية,خاص,صغيرة فئة ب,تعبئة وحفظ البقوليات (المطبوخة وغير المطبوخة) بالتعليب,,مكة المكرمة,JEDDAH,6000,دوام كامل,1,20202026395458,2,both
سكرتير,14/06/1444,مصنع غربله لمواد البناء,خاص,متوسطة فئة أ,انتاج أحجار رحى الطواحين وأحجار السن والصقل والشحذ,,مكة المكرمة,JEDDAH,4082,دوام كامل,1,20202026395130,0,F
أخصائي علاج طبيعي,14/06/1444,مركز الراحة للحجامة,خاص,صغيرة فئة ب,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,"['Skill data', 'لا يوجد', 'متوسط']",القصيم,UNAYZAH,7000,دوام كامل,2,20202026395117,2,both
أخصائي علاج طبيعي,14/06/1444,مركز الراحة للحجامة,خاص,صغيرة فئة ب,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,"['Skill data', 'لا يوجد', 'متوسط']",القصيم,UNAYZAH,5000,دوام كامل,2,20202026395115,0,both
أخصائي عمليات موارد بشرية,14/06/1444,مكتب سيجما الكفاءات للاستقدام,خاص,صغيرة فئة أ,التوسط في استقدام العمالة الوافدة,"['Skill data', 'microsoft office', 'محترف', 'Language data', 'الانجليزية', 'محترف']",مكة المكرمة,JEDDAH,5000,دوام كامل,1,20202026395113,2,both
مساعد إداري,14/06/1444,مكتب سيجما الكفاءات للاستقدام,خاص,صغيرة فئة أ,التوسط في استقدام العمالة الوافدة,"['Skill data', 'microsoft office', 'محترف', 'Language data', 'الانجليزية', 'متوسط']",مكة المكرمة,JEDDAH,4000,دوام كامل,1,20202026395112,2,both
محاسب,14/06/1444,شركة الهديل الدولية للتجارة,خاص,صغيرة فئة ب,مراكز التوزيع للأغذية والمشروبات,,مكة المكرمة,JEDDAH,6500,دوام كامل,1,20202026394971,2,F
عامل كاونتر مأكولات ومشروبات,14/06/1444,مؤسسة قدور نجد لخدمات الاعاشة,خاص,متوسطة فئة ب,محلات الوجبات السريعة ( تشمل محلات البيتزاء ),"['Skill data', 'اللباقة', 'مبتدئ']",مكة المكرمة,JEDDAH,4000,دوام كامل,5,20202026394907,0,both
مهندس تقنية معلومات,14/06/1444,مؤسسة قدور نجد لخدمات الاعاشة,خاص,متوسطة فئة ب,محلات الوجبات السريعة ( تشمل محلات البيتزاء ),"['Language data', 'انجليزي', 'محترف']",مكة المكرمة,JEDDAH,7500,دوام كامل,1,20202026394904,0,both
أمين مخزن,14/06/1444,محل افاق الاعتماد للتجارة,خاص,صغيرة فئة ب,البيع بالتجزئة لمنتجات الديكور والاسقف الصناعية والمواد العازلة ومواد البناء,,المنطقة الشرقية,ABRAQIYAH,4000,دوام كامل,2,20202026394854,2,both
مصمم إعلان,13/06/1444,وكالة الرؤية الرقمية للدعاية والاعلان,خاص,صغيرة فئة أ,مؤسسات ووكالات الدعاية والاعلان,"['Language data', 'انجليزي', 'متوسط']",المنطقة الشرقية,SAYHAT,4000,دوام كامل,1,20202026394812,0,M
قهوجي,13/06/1444,مقهى زاوية روزا لتقديم المشروبات,خاص,صغيرة فئة أ,محلات تقديم المشروبات ( الكوفي شوب ),,حائل,HAIL,4000,دوام كامل,1,20202026394806,0,both
موظف استقبال فندق,13/06/1444,شقق احلى الايام للوحدات السكنية المفروشة,خاص,صغيرة فئة ب,Unknown,"['Skill data', 'معرفة التعامل مع برنامج نزيل', 'متوسط', 'Language data', 'الانجليزية', 'مبتدئ']",مكة المكرمة,JEDDAH,4000,دوام كامل,1,20202026394783,0,M
مهندس كهربائي,12/06/1444,مكتب معاذ احمد علي القحطاني للاستشارات الهندسية,خاص,صغيرة فئة أ,أنشطة الاستشارات الهندسية والمعمارية,"['Skill data', 'اتقان استخدام برامج الهندسة ', 'محترف', 'Language data', 'الانجليزية ', 'متوسط', 'Professional certificate \\ License data', 'رخصة هيئة المهندسين ', 'ضروري']",الرياض,RIYADH,6000,دوام كامل,1,20202026394535,2,both
حاضنة أطفال,12/06/1444,مركز عوامل النجاح ضيافة الأطفال الأهلية,خاص,صغيرة فئة أ,مراكز ضيافة الأطفال الأهلية,,الرياض,RIYADH,4000,دوام كامل,4,20202026394445,0,F
فني تدفئة وتهوية وتكييف,12/06/1444,شركة السبع سنابل (شركة شخص واحد),خاص,متوسطة فئة أ,إصلاح وصيانة محطات الطاقة الكهربائية والمحولات,,مكة المكرمة,JEDDAH,4000,دوام كامل,1,20202026394312,2,M
فني هندسة كهربائية,12/06/1444,شركة السبع سنابل (شركة شخص واحد),خاص,متوسطة فئة أ,إصلاح وصيانة محطات الطاقة الكهربائية والمحولات,,مكة المكرمة,JEDDAH,4000,دوام كامل,1,20202026394304,0,M
مندوب مبيعات,12/06/1444,مصنع عمر بن عبدالله بن محمد الغامدي للمنتجات الغذائية,خاص,صغيرة فئة ب,"صناعة الحلويات السكرية ، يشمل ( الملبس و الكراميل والتوفي والنوغا "" راحة الحلقوم"" )","['Skill data', 'التسويق ', 'محترف', 'Language data', 'الانجليزية', 'متوسط']",الرياض,DAMMAM,4000,دوام كامل,3,20202026394118,2,both
فني كهربائي أنظمة حماية كهربائية,12/06/1444,مؤسسة ربيع محمد صلاح الدين معاد للتجارة,خاص,صغيرة فئة أ,تركيب وصيانة أجهزة ومعدات الإطفاء,"['Skill data', 'التعامل مع انظمة السلامة الكهربائية ', 'متوسط', 'Microsoft Office ', 'محترف', 'Language data', 'العربية ', 'محترف', 'الانجليزية ', 'محترف', 'Professional certificate \\ License data', 'هيئة المهندسين - فني كهربائي ', 'ضروري']",مكة المكرمة,JEDDAH,4900,دوام كامل,1,20202026394070,0,M
بائع,12/06/1444,شركة ايوان المذاق للتجارة شركة شخص واحد,خاص,صغيرة فئة ب,بيع الأغذية والمشروبات بالتجزئة في الأكشاك والأسواق,,الرياض,RIYADH,5000,دوام كامل,2,20202026393843,0,F
أخصائي تمريض,12/06/1444,شركة التناسق الطبية,خاص,صغيرة فئة ب, مستشفيات الرعاية الطبية الممتدة والنقاهة,"['Skill data', 'اللباقة وحسن المظهر ', 'متوسط']",الرياض,RIYADH,5000,دوام كامل,1,20202026393800,0,F
أخصائي مختبرات طبية,12/06/1444,شركة كيان المدينة الطبي شركة شخص واحد,خاص,صغيرة فئة ب,المجمعات الطبية العامة,,المدينة المنورة,ABU KABIR,4500,دوام كامل,1,20202026393715,2,F
أخصائي مبيعات,11/06/1444,شركة أليفة للتجارة,خاص,متوسطة فئة ب,أنشطة إيواء الحيوانات مع تقديم الرعاية الصحية اللازمة والعلاج,"['Skill data', 'مهارات استخدام الحاسب الآلي ', 'متوسط', 'مهارات التواصل و خدمة العملاء', 'محترف', 'Language data', 'اللغة الانجليزية ', 'محترف']",الرياض,RIYADH,5500,دوام كامل,6,20202026393568,0,both
مهندس مدني,11/06/1444,شركة الإنشاءات السعودية,خاص,صغيرة فئة ب,ترميمات المباني (التاريخية والتراثية والأثرية),,الرياض,ABA ASLAB,7000,دوام كامل,1,20202026393360,2,M
محامي,26/06/1444,مجموعة عبدالمجيد صالح القرشي للمحاماة,خاص,صغيرة فئة ب,أنشطة المحاماة والاستشارات القانونية,"['Skill data', 'اجادة استخدام برامج مايكروسوفت', 'محترف', 'Language data', 'الانجليزية', 'متوسط', 'Professional certificate \\ License data', 'رخصة المحاماة ', 'مفيد']",مكة المكرمة,MAKKAH,5500,دوام كامل,2,20202026405439,2,M
طبيب أسنان عام,26/06/1444,جمعية الصفا الخيرية بصفوى,خاص,صغيرة فئة ب,الأنشطة الخيرية ، يشمل: جمع التبرعات أو أنشطة الدعم الأخرى التي تدخل في نطاق العمل الاجتماعي,,المنطقة الشرقية,ABRAQIYAH,6000,دوام كامل,2,20202026405111,0,both
كاتب علاقات حكومية,26/06/1444,مجموعة رمز للاستشارات المهنية,خاص,متوسطة فئة أ,أنشطة الاستشارات البيئية,"['Skill data', 'مهاره في القياده والاشراف', 'محترف', 'مهارات الاتصال وفن التعامل مع الآخرين', 'محترف', 'مهاره عاليه في الاتصال وإعداد التقارير', 'متوسط', 'معرفه تامه في التشريعات والقوانين والانظمه', 'متوسط', 'Professional certificate \\ License data', 'الثانوية فما اعلي ', 'مفيد']",مكة المكرمة,JEDDAH,4000,دوام كامل,1,20202026404906,4,M
سائق حافلة,26/06/1444,مدارس سفراء المستقبل الاهلية,خاص,صغيرة فئة ب,التعليم في مرحلة ما قبل المدرسة - رياض الأطفال بمنهج وطني,,مكة المكرمة,JEDDAH,3000,دوام كامل,2,20202026404612,0,M
رئيس منظمة غير ربحية,25/06/1444,جمعية ريادة لبناء وتطوير القدرات الشبابية,خاص,صغيرة فئة أ,المؤسسات والهيئات الدينية غير ما ذكر فيما سبق .,,مكة المكرمة,MAKKAH,6000,دوام كامل,1,20202026404472,4,both
مشغل آلات تصنيع منتجات بلاستيكية,25/06/1444,شركة مدينه الاواني للصناعة,خاص,صغيرة فئة ب,صناعة البلاستيك (اللدائن ) في أشكالها الأولية,,مكة المكرمة,JEDDAH,4000,دوام كامل,3,20202026404407,0,M
